2	1	0.0035	0.0411	200
39	1	0.001	0.025	100
3	2	0.0013	0.0151	100
25	2	0.007	0.0086	180
4	3	0.0013	0.0213	100
18	3	0.0011	0.0133	200
5	4	0.0008	0.0128	200
14	4	0.0008	0.0129	150
6	5	0.0002	0.0026	150
8	5	0.0008	0.0112	1800
7	6	0.0006	0.0092	150
11	6	0.0007	0.0082	200
8	7	0.0004	0.0046	200
9	8	0.0023	0.0363	100
39	9	0.001	0.025	200
11	10	0.0004	0.0043	200
13	10	0.0004	0.0043	160
14	13	0.0009	0.0101	200
15	14	0.0018	0.0217	130
16	15	0.0009	0.0094	150
17	16	0.0007	0.0089	200
19	16	0.0016	0.0195	200
21	16	0.0008	0.0135	200
24	16	0.0003	0.0059	100
18	17	0.0007	0.0082	150
27	17	0.0013	0.0173	200
22	21	0.0008	0.014	150
23	22	0.0006	0.0096	150
24	23	0.0022	0.035	200
26	25	0.0032	0.0323	160
27	26	0.0014	0.0147	200
28	26	0.0043	0.0474	180
29	26	0.0057	0.0625	100
29	28	0.0014	0.0151	200
12	11	0.0016	0.0435	200
12	13	0.0016	0.0435	150
6	31	0	0.025	200
10	32	0	0.02	130
19	33	0.0007	0.0142	200
20	34	0.0009	0.018	150
22	35	0	0.0143	200
23	36	0.0005	0.0272	100
25	37	0.0006	0.0232	200
2	30	0	0.0181	100
29	38	0.0008	0.0156	200
19	20	0.0007	0.0138	100




2	1	0.0035	0.0411	200
39	1	0.001	0.025	300
3	2	0.0013	0.0151	50
25	2	0.007	0.0086	150
4	3	0.0013	0.0213	100
18	3	0.0011	0.0133	50
5	4	0.0008	0.0128	100
14	4	0.0008	0.0129	50
6	5	0.0002	0.0026	200
8	5	0.0008	0.0112	50
7	6	0.0006	0.0092	100
11	6	0.0007	0.0082	50
8	7	0.0004	0.0046	50
9	8	0.0023	0.0363	50
39	9	0.001	0.025	50
11	10	0.0004	0.0043	50
13	10	0.0004	0.0043	150
14	13	0.0009	0.0101	150
15	14	0.0018	0.0217	100
16	15	0.0009	0.0094	50
17	16	0.0007	0.0089	100
19	16	0.0016	0.0195	150
21	16	0.0008	0.0135	50
24	16	0.0003	0.0059	50
18	17	0.0007	0.0082	50
27	17	0.0013	0.0173	100
22	21	0.0008	0.014	100
23	22	0.0006	0.0096	50
24	23	0.0022	0.035	50
26	25	0.0032	0.0323	100
27	26	0.0014	0.0147	50
28	26	0.0043	0.0474	50
29	26	0.0057	0.0625	50
29	28	0.0014	0.0151	50
12	11	0.0016	0.0435	50
12	13	0.0016	0.0435	50
6	31	0	0.025	200
10	32	0	0.02	200
19	33	0.0007	0.0142	200
20	34	0.0009	0.018	200
22	35	0	0.0143	200
23	36	0.0005	0.0272	100
25	37	0.0006	0.0232	100
2	30	0	0.0181	100
29	38	0.0008	0.0156	100
19	20	0.0007	0.0138	100
